game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after,n_concurrent_at_start
825106,2026-04-01,0.125,1.0021609171346877,29164.78500000001,505.8069894714339,66,66.0,0.7282575757575758,1,0.27174242424242423,17.935,29182.720000000012,7
823157,2026-04-01,0.125,1.0021609171346877,29182.720000000012,393.40543625555966,393,393.0,0.4011450381679389,0,-0.4011450381679389,-157.64999999999998,29025.07000000001,9
823321,2026-04-01,0.125,1.0021609171346877,29025.07000000001,442.58111578750464,442,442.0,0.8250226244343891,1,0.17497737556561088,77.34,29102.41000000001,8
823970,2026-04-02,0.125,1.0021609171346877,29102.41000000001,1822.8311185268574,1822,1822.0,0.7148298572996707,0,-0.7148298572996707,-1302.42,27799.990000000013,2
824136,2026-04-01,0.125,1.0021609171346877,27799.990000000013,3645.6622370537148,195,195.0,0.548974358974359,1,0.451025641025641,87.95,27887.940000000013,1
824133,2026-04-02,0.125,1.0021609171346877,27887.940000000013,3493.5254409246445,1026,1026.0,0.23500487329434697,0,-0.23500487329434697,-241.11499999999998,27646.82500000001,1
824299,2026-04-03,0.125,1.0021609171346877,27646.82500000001,1731.660468616389,1644,1644.0,0.6238868613138686,1,0.3761131386861314,618.33,28265.155000000013,2
822758,2026-04-03,0.125,1.0021609171346877,28265.155000000013,3463.320937232778,242,242.0,0.4546694214876034,0,-0.4546694214876034,-110.03000000000003,28155.125000000015,1
823568,2026-04-03,0.125,1.0021609171346877,28155.125000000015,1154.440312410926,1154,1154.0,0.6085181975736569,1,0.3914818024263431,451.77,28606.895000000015,3
824786,2026-04-03,0.125,1.0021609171346877,28606.895000000015,865.8302343081945,3,3.0,0.6916666666666665,1,0.30833333333333346,0.9250000000000004,28607.820000000014,4
822919,2026-04-03,0.125,1.0021609171346877,28607.820000000014,1175.6652455017413,1175,1175.0,0.6134255319148937,0,-0.6134255319148937,-720.7750000000001,27887.045000000013,3
824458,2026-04-03,0.125,1.0021609171346877,27887.045000000013,881.7489341263059,881,881.0,0.4850000000000001,1,0.5149999999999999,453.7149999999999,28340.760000000013,4
824377,2026-04-03,0.125,1.0021609171346877,28340.760000000013,705.3991473010448,705,705.0,0.04298581560283688,0,-0.04298581560283688,-30.305,28310.455000000013,5
823406,2026-04-03,0.125,1.0021609171346877,28310.455000000013,587.8326227508707,587,587.0,0.4750000000000001,1,0.5249999999999999,308.17499999999995,28618.630000000012,6
823732,2026-04-03,0.125,1.0021609171346877,28618.630000000012,716.7409782106018,136,136.0,0.5419117647058824,1,0.4580882352941176,62.29999999999999,28680.93000000001,5
823240,2026-04-04,0.125,1.0021609171346877,28680.93000000001,3592.863389134474,3251,3251.0,0.09041218086742543,0,-0.09041218086742543,-293.93000000000006,28387.00000000001,1
824295,2026-04-04,0.125,1.0021609171346877,28387.00000000001,3556.042744337799,31,31.0,0.6599999999999999,1,0.3400000000000001,10.540000000000003,28397.54000000001,1
824622,2026-04-04,0.125,1.0021609171346877,28397.54000000001,1778.0213721688995,1414,1414.0,0.7712729844413012,1,0.2287270155586988,323.4200000000001,28720.960000000014,2
824132,2026-04-04,0.125,1.0021609171346877,28720.960000000014,1185.347581445933,1185,1185.0,0.06932489451476792,0,-0.06932489451476792,-82.14999999999999,28638.810000000012,3
822757,2026-04-04,0.125,1.0021609171346877,28638.810000000012,711.2085488675598,711,711.0,0.0878551336146273,0,-0.0878551336146273,-62.46500000000001,28576.345000000012,5
824782,2026-04-04,0.125,1.0021609171346877,28576.345000000012,592.8938485576873,592,592.0,0.5750000000000001,0,-0.5750000000000001,-340.40000000000003,28235.94500000001,6
825027,2026-04-04,0.125,1.0021609171346877,28235.94500000001,889.0106860844497,712,712.0,0.054543539325842695,0,-0.054543539325842695,-38.835,28197.11000000001,4
823404,2026-04-04,0.125,1.0021609171346877,28197.11000000001,711.4726182692248,191,191.0,0.3453403141361257,1,0.6546596858638742,125.03999999999998,28322.150000000012,5
825104,2026-04-04,0.125,1.0021609171346877,28322.150000000012,886.979744350819,86,86.0,0.6314534883720929,1,0.3685465116279071,31.695000000000007,28353.845000000012,4
822920,2026-04-04,0.125,1.0021609171346877,28353.845000000012,1766.1276011342304,1059,1059.0,0.09094428706326724,0,-0.09094428706326724,-96.31,28257.53500000001,2
823730,2026-04-04,0.125,1.0021609171346877,28257.53500000001,1182.6396591344253,1182,1182.0,0.4854653130287648,0,-0.4854653130287648,-573.8199999999999,27683.71500000001,3
824378,2026-04-05,0.125,1.0021609171346877,27683.71500000001,709.5837954806552,709,709.0,0.2591537376586742,0,-0.2591537376586742,-183.74,27499.97500000001,5
823569,2026-04-04,0.125,1.0021609171346877,27499.97500000001,1177.4184007561537,1177,1177.0,0.14676720475785895,1,0.853232795242141,1004.255,28504.23000000001,3
823239,2026-04-05,0.125,1.0021609171346877,28504.23000000001,591.3198295672127,591,591.0,0.11276649746192893,0,-0.11276649746192893,-66.645,28437.58500000001,6
824054,2026-04-05,0.125,1.0021609171346877,28437.58500000001,707.9649297891386,365,365.0,0.7269726027397261,1,0.2730273972602739,99.65499999999999,28537.24000000001,5
824459,2026-04-05,0.125,1.0021609171346877,28537.24000000001,3574.863326361588,3574,3574.0,0.44761891438164525,0,-0.44761891438164525,-1599.7900000000002,26937.450000000008,1
823405,2026-04-05,0.125,1.0021609171346877,26937.450000000008,1191.621108787196,1191,1191.0,0.545,1,0.45499999999999996,541.905,27479.355000000007,3
824781,2026-04-05,0.125,1.0021609171346877,27479.355000000007,1787.431663180794,1787,1787.0,0.5796026860660325,0,-0.5796026860660325,-1035.75,26443.605000000007,2
823729,2026-04-05,0.125,1.0021609171346877,26443.605000000007,714.9726652723176,613,613.0,0.09119086460032627,0,-0.09119086460032627,-55.900000000000006,26387.705000000005,5
824620,2026-04-05,0.125,1.0021609171346877,26387.705000000005,893.715831590397,176,176.0,0.46059659090909083,1,0.5394034090909092,94.93500000000003,26482.640000000007,4
824131,2026-04-05,0.125,1.0021609171346877,26482.640000000007,595.810554393598,595,595.0,0.09205042016806722,0,-0.09205042016806722,-54.769999999999996,26427.870000000006,6
824379,2026-04-05,0.125,1.0021609171346877,26427.870000000006,446.8579157951985,49,49.0,0.5038775510204082,1,0.4961224489795918,24.31,26452.180000000008,8
822917,2026-04-05,0.125,1.0021609171346877,26452.180000000008,510.6947609087983,510,510.0,0.535,0,-0.535,-272.85,26179.33000000001,7
823238,2026-04-05,0.125,1.0021609171346877,26179.33000000001,337.4457449658725,337,337.0,0.14183976261127598,0,-0.14183976261127598,-47.800000000000004,26131.53000000001,10
822756,2026-04-05,0.125,1.0021609171346877,26131.53000000001,397.2070362623987,397,397.0,0.28302267002518894,0,-0.28302267002518894,-112.36000000000001,26019.17000000001,9
825102,2026-04-05,0.125,1.0021609171346877,26019.17000000001,312.94017737579173,312,312.0,0.32950320512820513,1,0.6704967948717948,209.195,26228.36500000001,11
824053,2026-04-05,0.125,1.0021609171346877,26228.36500000001,344.2341951133709,207,207.0,0.47355072463768105,1,0.5264492753623189,108.97500000000001,26337.340000000007,10
825025,2026-04-05,0.125,1.0021609171346877,26337.340000000007,374.93971662874725,170,170.0,0.5009411764705882,1,0.4990588235294118,84.84,26422.180000000008,9
823566,2026-04-05,0.125,1.0021609171346877,26422.180000000008,368.60926097983014,368,368.0,0.7249999999999999,0,-0.7249999999999999,-266.79999999999995,26155.38000000001,9
